35.2 -79.8 basin centroid
Elevation: 250.0 m  Area: 180.0 km2

Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa)
1995 1 1 12 35377.2 2.077 109.49 0.05 -0.16 -8.89 407.9
1995 1 2 12 35407.2 0.611 110.76 0.05 -3.30 -11.38 437.0
1995 1 3 12 35439.5 3.679 87.33 0.05 1.39 -6.87 411.0
1995 1 4 12 35474.1 1.326 107.45 0.05 -1.98 -10.04 378.4
1995 1 5 12 35511.0 0.573 87.03 0.05 -1.13 -10.29 344.9
1995 1 6 12 35550.1 0.561 79.26 0.05 -1.70 -10.96 387.1
1995 1 7 12 35591.5 0.475 121.48 0.05 -1.28 -9.64 433.9
1995 1 8 12 35635.2 5.151 102.29 0.05 -1.06 -10.46 430.1
1995 1 9 12 35681.2 0.270 112.30 0.05 2.21 -6.67 498.4
1995 1 10 12 35729.3 0.186 87.06 0.05 -1.38 -9.01 402.2
1995 1 11 12 35779.7 0.866 111.06 0.05 -1.37 -9.72 408.5
1995 1 12 12 35832.2 2.442 102.65 0.05 -0.30 -8.58 399.2
1995 1 13 12 35887.0 2.381 105.85 0.05 -0.79 -7.70 486.2
1995 1 14 12 35943.9 2.747 131.81 0.05 -0.17 -10.24 390.4
1995 1 15 12 36003.0 0.471 79.81 0.05 1.04 -7.42 495.0
1995 1 16 12 36064.1 0.235 116.90 0.05 -1.79 -9.75 401.6
1995 1 17 12 36127.5 0.836 126.72 0.05 0.74 -7.01 473.5
1995 1 18 12 36192.9 1.376 117.39 0.05 -1.22 -10.39 374.8
1995 1 19 12 36260.3 0.272 126.41 0.05 -2.14 -9.94 408.1
1995 1 20 12 36329.9 1.681 99.33 0.05 -2.45 -10.86 406.1
1995 1 21 12 36401.5 2.640 111.53 0.05 -0.37 -7.34 444.2
1995 1 22 12 36475.1 1.721 125.39 0.05 -0.60 -7.99 421.5
1995 1 23 12 36550.6 1.470 104.55 0.05 -1.48 -9.78 399.0
1995 1 24 12 36628.2 1.512 92.27 0.05 -0.50 -8.61 413.3
1995 1 25 12 36707.7 0.349 150.30 0.05 -1.95 -9.80 416.3
1995 1 26 12 36789.1 0.373 125.83 0.05 1.32 -6.62 524.5
1995 1 27 12 36872.4 1.566 127.94 0.05 -2.11 -10.23 339.4
1995 1 28 12 36957.6 0.907 118.03 0.05 -1.04 -9.30 373.6
1995 1 29 12 37044.7 6.470 127.46 0.05 -3.82 -10.34 393.9
1995 1 30 12 37133.6 0.871 112.11 0.05 1.08 -6.31 489.3
1995 1 31 12 37224.2 1.757 121.95 0.05 1.18 -6.66 425.5
1995 2 1 12 37316.7 2.286 123.97 0.05 -1.22 -8.81 455.2
1995 2 2 12 37410.8 1.563 128.15 0.05 -0.93 -9.59 435.8
1995 2 3 12 37506.7 0.502 117.10 0.05 -2.80 -11.05 423.3
1995 2 4 12 37604.3 0.818 119.81 0.05 -1.48 -10.45 402.2
1995 2 5 12 37703.6 0.847 135.19 0.05 -0.73 -8.84 461.2
1995 2 6 12 37804.5 0.671 130.95 0.05 -0.89 -9.78 429.7
1995 2 7 12 37906.9 0.232 140.31 0.05 -3.48 -11.82 409.4
1995 2 8 12 38011.0 0.511 110.39 0.05 -0.55 -8.82 407.7
1995 2 9 12 38116.5 2.308 138.91 0.05 -1.23 -9.80 427.5
1995 2 10 12 38223.6 2.038 115.74 0.05 -2.29 -9.69 392.6
1995 2 11 12 38332.2 2.504 152.83 0.05 -2.06 -8.28 432.9
1995 2 12 12 38442.2 0.584 133.43 0.05 -1.99 -11.28 287.7
1995 2 13 12 38553.6 2.436 132.91 0.05 0.80 -6.66 457.3
1995 2 14 12 38666.4 3.748 137.63 0.05 2.71 -5.44 498.7
1995 2 15 12 38780.5 4.554 141.53 0.05 5.11 -3.88 524.8
1995 2 16 12 38896.0 1.616 150.81 0.05 -0.75 -9.44 427.0
