38.9 -106.95 basin centroid
Elevation: 2800.0 m  Area: 320.0 km2

Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa)
1995 1 1 12 35377.2 5.275 97.27 113.72 -11.86 -23.28 146.3
1995 1 2 12 35407.2 14.208 104.23 113.72 -13.06 -22.72 157.3
1995 1 3 12 35439.5 0.288 111.02 113.72 -14.35 -24.49 149.1
1995 1 4 12 35474.1 0.812 103.66 113.72 -12.50 -23.66 103.8
1995 1 5 12 35511.0 0.218 105.23 113.72 -14.98 -26.12 105.3
1995 1 6 12 35550.1 0.790 71.89 113.72 -11.40 -21.72 115.9
1995 1 7 12 35591.5 0.874 96.14 113.72 -12.24 -23.84 94.1
1995 1 8 12 35635.2 5.253 92.67 113.72 -14.23 -24.78 96.5
1995 1 9 12 35681.2 7.263 120.57 113.72 -14.11 -25.04 66.1
1995 1 10 12 35729.3 3.231 99.44 113.72 -13.67 -24.29 130.5
1995 1 11 12 35779.7 6.583 95.68 113.72 -14.15 -26.57 50.0
1995 1 12 12 35832.2 4.957 115.04 113.72 -11.94 -23.47 160.8
1995 1 13 12 35887.0 1.192 84.08 113.72 -14.75 -25.35 119.1
1995 1 14 12 35943.9 3.732 106.15 113.72 -16.21 -26.17 56.3
1995 1 15 12 36003.0 0.689 78.38 113.72 -14.36 -25.27 84.1
1995 1 16 12 36064.1 2.530 97.84 113.72 -12.86 -23.08 135.7
1995 1 17 12 36127.5 3.167 102.33 113.72 -12.47 -24.46 151.5
1995 1 18 12 36192.9 4.580 131.78 113.72 -13.83 -24.99 72.0
1995 1 19 12 36260.3 10.518 108.37 113.72 -14.95 -25.53 50.0
1995 1 20 12 36329.9 0.439 97.94 113.72 -14.06 -24.91 89.0
1995 1 21 12 36401.5 2.521 110.01 113.72 -14.97 -25.16 69.1
1995 1 22 12 36475.1 9.100 134.36 113.72 -17.44 -28.44 50.0
1995 1 23 12 36550.6 1.132 82.69 113.72 -15.25 -26.24 74.0
1995 1 24 12 36628.2 0.770 125.87 113.72 -13.19 -23.46 95.5
1995 1 25 12 36707.7 5.190 120.77 113.72 -14.34 -25.57 98.8
1995 1 26 12 36789.1 4.485 114.14 113.72 -14.37 -25.90 50.0
1995 1 27 12 36872.4 0.249 112.07 113.72 -12.22 -22.65 235.7
1995 1 28 12 36957.6 1.403 139.13 113.72 -15.29 -26.87 94.5
