45.2 -69.3 basin centroid
Elevation: 300.0 m  Area: 220.0 km2

Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa)
1995 1 1 12 35377.2 2.607 123.62 7.74 -1.29 -10.68 339.6
1995 1 2 12 35407.2 2.016 108.46 7.74 -0.75 -10.49 398.2
1995 1 3 12 35439.5 1.657 99.28 7.74 -0.14 -8.61 389.9
1995 1 4 12 35474.1 0.210 92.95 7.74 -2.55 -11.73 344.2
1995 1 5 12 35511.0 3.920 91.38 7.74 -0.07 -9.65 375.4
1995 1 6 12 35550.1 1.276 96.91 7.74 -3.01 -11.89 333.5
1995 1 7 12 35591.5 1.052 125.81 7.74 0.52 -8.02 412.0
1995 1 8 12 35635.2 0.418 103.10 7.74 -1.98 -11.72 373.4
1995 1 9 12 35681.2 2.131 95.89 7.74 -1.97 -12.02 355.1
1995 1 10 12 35729.3 0.594 101.43 7.74 -2.10 -12.13 346.8
1995 1 11 12 35779.7 0.636 86.98 7.74 -0.41 -10.19 364.3
1995 1 12 12 35832.2 6.389 103.63 7.74 -1.49 -10.26 401.5
1995 1 13 12 35887.0 3.489 109.00 7.74 -0.34 -10.22 360.7
1995 1 14 12 35943.9 7.959 106.37 7.74 -0.43 -8.84 415.5
1995 1 15 12 36003.0 2.564 143.41 7.74 0.22 -9.06 440.0
1995 1 16 12 36064.1 0.380 118.15 7.74 -2.86 -12.10 350.2
1995 1 17 12 36127.5 0.601 81.84 7.74 0.91 -8.60 448.2
1995 1 18 12 36192.9 1.673 131.60 7.74 -1.08 -10.76 390.0
1995 1 19 12 36260.3 1.931 118.12 7.74 -3.20 -13.59 375.7
1995 1 20 12 36329.9 0.510 96.47 7.74 -1.82 -9.49 371.2
1995 1 21 12 36401.5 1.531 117.92 7.74 -1.62 -11.68 366.1
1995 1 22 12 36475.1 3.408 103.34 7.74 -0.57 -9.22 415.7
1995 1 23 12 36550.6 0.508 131.01 7.74 -3.39 -12.46 347.9
1995 1 24 12 36628.2 9.812 104.48 7.74 -2.53 -11.61 458.0
1995 1 25 12 36707.7 6.928 135.39 7.74 -2.20 -10.34 407.1
1995 1 26 12 36789.1 0.129 153.91 7.74 -1.08 -9.91 401.8
1995 1 27 12 36872.4 2.145 140.25 7.74 0.89 -7.05 478.3
1995 1 28 12 36957.6 0.593 124.80 7.74 -1.60 -10.63 337.1
1995 1 29 12 37044.7 1.382 122.45 7.74 -2.24 -12.61 293.0
1995 1 30 12 37133.6 1.500 110.55 7.74 -2.16 -12.53 319.2
1995 1 31 12 37224.2 2.407 128.90 7.74 -0.97 -10.49 402.4
1995 2 1 12 37316.7 3.550 134.00 7.74 0.02 -9.82 415.6
1995 2 2 12 37410.8 0.635 129.04 7.74 0.75 -8.79 410.2
1995 2 3 12 37506.7 2.999 121.66 7.74 -3.03 -12.98 314.2
1995 2 4 12 37604.3 6.725 117.00 7.74 -3.55 -12.32 359.5
1995 2 5 12 37703.6 4.248 133.09 7.74 -0.60 -9.41 445.6
1995 2 6 12 37804.5 1.137 110.09 7.74 0.89 -7.68 438.0
1995 2 7 12 37906.9 2.749 134.86 7.74 -2.70 -11.59 367.5
1995 2 8 12 38011.0 0.707 127.29 7.74 -0.08 -9.66 370.7
1995 2 9 12 38116.5 0.493 102.55 7.74 -1.87 -11.32 387.0
1995 2 10 12 38223.6 5.610 128.56 7.74 -1.51 -11.13 374.2
1995 2 11 12 38332.2 5.170 114.24 7.74 -1.92 -10.86 428.8
1995 2 12 12 38442.2 3.082 140.06 7.74 -0.12 -11.26 325.9
1995 2 13 12 38553.6 0.424 137.40 7.74 -0.35 -11.57 361.2
