36.95 -121.4 basin centroid
Elevation: 500.0 m  Area: 90.0 km2

Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa)
1995 1 1 12 35377.2 0.344 76.57 0.58 -2.34 -10.36 373.1
1995 1 2 12 35407.2 2.671 95.00 0.58 -1.83 -10.47 414.7
1995 1 3 12 35439.5 0.596 122.22 0.58 -2.31 -9.54 427.0
1995 1 4 12 35474.1 0.100 124.62 0.58 -2.24 -9.47 470.5
1995 1 5 12 35511.0 1.435 97.75 0.58 -2.98 -10.95 422.7
1995 1 6 12 35550.1 1.452 93.49 0.58 -2.72 -11.05 412.8
1995 1 7 12 35591.5 1.969 97.21 0.58 -1.56 -9.72 456.5
1995 1 8 12 35635.2 3.170 90.05 0.58 -3.07 -11.70 376.2
1995 1 9 12 35681.2 1.156 97.84 0.58 -2.45 -10.47 386.7
1995 1 10 12 35729.3 0.451 106.80 0.58 -2.58 -10.31 423.0
1995 1 11 12 35779.7 1.703 110.84 0.58 -4.30 -11.94 341.5
1995 1 12 12 35832.2 3.465 96.24 0.58 -1.45 -9.60 451.7
1995 1 13 12 35887.0 0.385 89.11 0.58 -0.33 -8.87 388.9
1995 1 14 12 35943.9 1.262 126.84 0.58 0.79 -8.31 401.9
1995 1 15 12 36003.0 0.178 94.46 0.58 -2.12 -11.72 346.6
1995 1 16 12 36064.1 1.276 92.21 0.58 0.02 -7.10 432.8
1995 1 17 12 36127.5 0.377 126.80 0.58 0.22 -7.13 438.5
1995 1 18 12 36192.9 3.620 137.68 0.58 -2.18 -10.31 336.7
1995 1 19 12 36260.3 1.587 88.29 0.58 -2.82 -10.99 359.1
1995 1 20 12 36329.9 3.284 107.97 0.58 -1.14 -10.54 382.4
1995 1 21 12 36401.5 2.286 103.73 0.58 -2.37 -8.93 430.5
1995 1 22 12 36475.1 2.287 125.60 0.58 0.44 -7.20 452.1
1995 1 23 12 36550.6 2.139 114.03 0.58 -2.79 -10.98 389.5
1995 1 24 12 36628.2 1.307 120.96 0.58 -2.27 -9.33 423.1
1995 1 25 12 36707.7 2.964 113.04 0.58 -2.48 -12.14 316.9
1995 1 26 12 36789.1 1.343 130.38 0.58 -3.17 -11.69 394.1
1995 1 27 12 36872.4 3.787 107.74 0.58 -2.90 -11.14 362.2
1995 1 28 12 36957.6 1.453 99.32 0.58 -0.48 -9.11 342.4
1995 1 29 12 37044.7 1.242 133.73 0.58 -0.47 -6.81 442.1
1995 1 30 12 37133.6 0.242 118.43 0.58 -4.31 -13.13 343.3
1995 1 31 12 37224.2 0.158 136.77 0.58 -2.52 -10.67 433.6
1995 2 1 12 37316.7 0.488 122.30 0.58 -0.01 -6.51 509.1
1995 2 2 12 37410.8 4.967 131.04 0.58 -3.32 -10.27 341.0
1995 2 3 12 37506.7 0.501 146.01 0.58 -4.02 -12.66 315.1
1995 2 4 12 37604.3 0.592 128.13 0.58 -2.02 -10.80 394.3
1995 2 5 12 37703.6 2.591 95.68 0.58 -2.04 -11.20 384.1
1995 2 6 12 37804.5 2.268 133.02 0.58 -1.70 -8.55 432.6
1995 2 7 12 37906.9 5.484 122.22 0.58 -0.26 -8.51 441.1
1995 2 8 12 38011.0 0.524 161.35 0.58 -0.59 -9.87 353.5
1995 2 9 12 38116.5 6.477 104.56 0.58 -1.11 -10.07 394.1
1995 2 10 12 38223.6 4.502 145.37 0.58 -2.47 -11.79 362.5
1995 2 11 12 38332.2 4.951 134.40 0.58 -0.75 -10.04 369.0
1995 2 12 12 38442.2 2.655 129.88 0.58 -0.43 -7.99 437.5
1995 2 13 12 38553.6 1.400 138.03 0.58 -1.72 -10.44 391.5
1995 2 14 12 38666.4 2.896 125.08 0.58 1.03 -8.56 428.4
1995 2 15 12 38780.5 2.401 142.13 0.58 -2.66 -10.58 445.8
1995 2 16 12 38896.0 1.056 119.20 0.58 -3.31 -11.94 371.4
1995 2 17 12 39012.7 2.757 152.16 0.58 -1.90 -10.10 389.5
1995 2 18 12 39130.6 0.463 166.19 0.58 -1.39 -9.92 372.3
1995 2 19 12 39249.8 5.030 132.71 0.58 -1.45 -9.84 439.6
1995 2 20 12 39370.1 2.124 145.20 0.58 2.09 -5.78 491.5
1995 2 21 12 39491.6 0.089 166.52 0.58 1.25 -6.16 458.9
1995 2 22 12 39614.2 0.607 146.46 0.58 1.80 -5.31 452.2
1995 2 23 12 39737.8 1.266 164.19 0.58 1.52 -7.05 485.5
1995 2 24 12 39862.5 2.211 148.20 0.58 0.78 -7.49 466.8
1995 2 25 12 39988.1 6.158 145.20 0.58 -2.02 -10.13 375.7
1995 2 26 12 40114.7 0.135 154.73 0.58 -2.02 -9.48 391.4
1995 2 27 12 40242.2 12.114 119.86 0.58 2.58 -5.34 497.8
1995 2 28 12 40370.6 0.344 163.63 0.58 -0.21 -8.96 455.6
1995 3 1 12 40499.8 0.423 147.24 0.58 1.35 -6.84 474.2
1995 3 2 12 40629.8 1.662 169.77 0.58 1.61 -5.58 462.7
1995 3 3 12 40760.6 0.982 158.66 0.58 3.69 -4.72 548.6
1995 3 4 12 40892.1 0.360 162.09 0.58 1.38 -6.81 470.6
1995 3 5 12 41024.3 4.752 155.50 0.58 0.35 -7.73 425.3
1995 3 6 12 41157.2 2.806 206.17 0.58 3.11 -6.25 468.6
1995 3 7 12 41290.6 2.594 160.22 0.58 0.41 -7.55 456.0
1995 3 8 12 41424.6 2.871 182.85 0.58 1.58 -6.57 504.6
1995 3 9 12 41559.2 0.511 202.80 0.58 1.61 -5.42 486.8
1995 3 10 12 41694.2 0.753 152.10 0.58 1.24 -6.55 426.7
1995 3 11 12 41829.7 1.242 145.71 0.58 2.96 -6.42 453.5
1995 3 12 12 41965.5 1.873 174.93 0.58 4.67 -2.28 615.8
1995 3 13 12 42101.8 9.013 156.11 0.58 2.21 -5.58 546.7
1995 3 14 12 42238.3 3.051 172.56 0.58 2.67 -7.23 475.6
1995 3 15 12 42375.2 4.175 176.10 0.58 1.41 -6.85 400.7
1995 3 16 12 42512.3 2.196 163.26 0.58 2.43 -6.40 534.3
1995 3 17 12 42649.6 0.619 185.29 0.58 1.52 -7.61 425.2
1995 3 18 12 42787.0 3.066 174.39 0.58 0.85 -6.72 492.5
1995 3 19 12 42924.6 1.592 190.60 0.58 1.63 -7.37 455.5
1995 3 20 12 43062.3 1.146 189.92 0.58 4.40 -4.32 535.7
1995 3 21 12 43200.0 2.275 198.83 0.58 2.71 -4.82 517.5
1995 3 22 12 43337.7 6.056 202.16 0.58 4.55 -3.78 531.3
1995 3 23 12 43475.4 2.099 195.15 0.58 3.71 -5.08 493.9
1995 3 24 12 43613.0 6.398 190.02 0.58 4.82 -3.92 490.9
1995 3 25 12 43750.4 8.912 204.47 0.58 4.54 -3.48 504.3
1995 3 26 12 43887.7 0.463 162.69 0.58 5.79 -1.98 561.8
1995 3 27 12 44024.8 1.807 161.77 0.58 5.85 -2.75 531.9
1995 3 28 12 44161.7 3.187 154.14 0.58 4.44 -3.97 520.4
1995 3 29 12 44298.2 1.171 196.07 0.58 4.40 -3.52 558.6
1995 3 30 12 44434.5 5.994 188.00 0.58 6.24 -1.63 589.3
1995 3 31 12 44570.3 4.619 180.97 0.58 4.92 -4.77 517.8
1995 4 1 12 44705.8 2.734 184.41 0.58 6.81 -0.75 596.4
1995 4 2 12 44840.8 1.805 202.26 0.58 4.85 -2.78 552.7
1995 4 3 12 44975.4 0.592 172.48 0.58 5.89 -3.57 562.4
1995 4 4 12 45109.4 4.779 197.27 0.58 6.50 -1.62 574.6
1995 4 5 12 45242.8 0.836 211.01 0.58 7.82 0.25 581.8
1995 4 6 12 45375.7 4.597 196.64 0.58 6.72 -2.43 627.8
1995 4 7 12 45507.9 4.952 201.58 0.58 6.59 -0.95 568.6
1995 4 8 12 45639.4 3.991 228.31 0.58 8.01 0.12 554.6
1995 4 9 12 45770.2 1.119 191.82 0.58 6.69 -1.95 562.3
1995 4 10 12 45900.2 5.419 227.20 0.58 8.16 0.50 576.5
1995 4 11 12 46029.4 0.788 186.44 0.58 8.25 0.48 572.9
1995 4 12 12 46157.8 2.782 193.74 0.58 9.71 -0.01 607.4
1995 4 13 12 46285.3 4.541 191.96 0.58 7.87 -0.86 596.1
1995 4 14 12 46411.9 0.499 229.78 0.58 8.52 0.37 581.6
1995 4 15 12 46537.5 0.659 211.08 0.58 8.05 0.67 607.3
1995 4 16 12 46662.2 3.114 209.48 0.58 8.39 0.83 654.6
1995 4 17 12 46785.8 1.193 234.14 0.58 10.23 2.58 602.1
1995 4 18 12 46908.4 11.798 220.87 0.58 8.79 1.60 637.2
1995 4 19 12 47029.9 2.381 218.29 0.58 8.85 1.16 606.3
1995 4 20 12 47150.2 1.503 217.66 0.58 11.05 2.20 652.9
1995 4 21 12 47269.4 9.756 221.00 0.58 8.62 -0.90 570.6
1995 4 22 12 47387.3 6.510 235.63 0.58 9.56 0.12 566.9
1995 4 23 12 47504.0 0.503 236.10 0.58 6.85 -1.85 583.3
1995 4 24 12 47619.5 7.010 252.53 0.58 9.83 2.31 709.4
1995 4 25 12 47733.6 2.299 239.20 0.58 9.74 1.55 651.9
1995 4 26 12 47846.4 0.172 222.88 0.58 9.94 2.68 653.0
1995 4 27 12 47957.8 0.643 215.51 0.58 11.34 2.55 675.2
1995 4 28 12 48067.8 2.075 238.69 0.58 10.33 1.85 635.9
1995 4 29 12 48176.4 0.820 228.91 0.58 11.11 3.90 728.7
1995 4 30 12 48283.5 6.970 217.92 0.58 12.32 4.35 691.7
1995 5 1 12 48389.0 2.658 246.34 0.58 12.72 4.94 753.6
1995 5 2 12 48493.1 4.936 227.11 0.58 11.60 3.48 696.8
1995 5 3 12 48595.5 3.092 224.70 0.58 11.63 3.50 686.2
1995 5 4 12 48696.4 0.629 244.38 0.58 11.00 0.94 628.3
1995 5 5 12 48795.7 0.510 237.15 0.58 10.00 1.22 637.0
1995 5 6 12 48893.3 3.419 252.64 0.58 12.53 5.04 665.4
1995 5 7 12 48989.2 3.385 225.51 0.58 13.44 5.17 705.1
1995 5 8 12 49083.3 2.373 223.32 0.58 12.46 4.66 745.1
1995 5 9 12 49175.8 0.296 224.87 0.58 13.92 5.00 685.0
1995 5 10 12 49266.4 7.511 273.15 0.58 14.93 6.72 730.0
1995 5 11 12 49355.3 2.212 269.34 0.58 14.81 6.71 756.6
1995 5 12 12 49442.4 7.059 214.80 0.58 14.86 7.10 698.2
1995 5 13 12 49527.6 0.747 228.82 0.58 14.41 5.81 686.0
1995 5 14 12 49610.9 2.089 242.14 0.58 14.59 6.92 784.3
1995 5 15 12 49692.3 8.654 243.05 0.58 15.89 8.26 759.1
1995 5 16 12 49771.8 1.700 254.10 0.58 14.07 3.68 723.0
1995 5 17 12 49849.4 0.692 253.64 0.58 15.28 8.66 798.8
1995 5 18 12 49924.9 16.951 241.55 0.58 10.85 4.02 669.2
1995 5 19 12 49998.5 11.003 252.59 0.58 14.41 6.41 763.2
1995 5 20 12 50070.1 2.595 240.30 0.58 16.39 7.62 744.3
1995 5 21 12 50139.7 2.751 268.09 0.58 15.27 7.86 725.0
1995 5 22 12 50207.1 9.910 269.86 0.58 16.55 9.12 831.1
1995 5 23 12 50272.5 1.743 216.52 0.58 17.31 9.57 741.3
1995 5 24 12 50335.9 0.735 233.98 0.58 17.49 9.85 785.9
1995 5 25 12 50397.0 0.327 267.40 0.58 15.78 8.50 732.8
1995 5 26 12 50456.1 2.902 242.96 0.58 16.32 8.59 773.5
1995 5 27 12 50513.0 1.231 250.02 0.58 14.76 7.32 758.4
1995 5 28 12 50567.8 8.308 244.07 0.58 16.15 8.90 801.1
1995 5 29 12 50620.3 0.483 225.60 0.58 17.73 9.48 849.5
1995 5 30 12 50670.7 3.518 255.77 0.58 15.95 7.76 781.1
1995 5 31 12 50718.8 3.297 258.49 0.58 17.67 9.33 787.3
1995 6 1 12 50764.8 6.886 269.47 0.58 17.20 7.82 750.1
1995 6 2 12 50808.5 1.519 259.47 0.58 15.28 7.50 726.0
1995 6 3 12 50849.9 0.910 261.47 0.58 18.97 11.39 835.6
1995 6 4 12 50889.0 4.545 271.47 0.58 18.42 9.49 777.0
1995 6 5 12 50925.9 5.000 244.88 0.58 19.28 11.03 877.9
1995 6 6 12 50960.5 1.213 249.12 0.58 17.10 8.07 771.9
1995 6 7 12 50992.8 4.508 265.81 0.58 19.30 11.64 811.6
1995 6 8 12 51022.8 0.772 263.46 0.58 18.25 9.78 795.7
1995 6 9 12 51050.5 10.421 291.69 0.58 19.49 9.12 816.4
1995 6 10 12 51075.8 7.519 252.63 0.58 17.84 10.15 814.4
1995 6 11 12 51098.8 1.169 277.77 0.58 18.73 10.16 800.6
1995 6 12 12 51119.5 9.241 265.86 0.58 19.63 11.03 815.6
1995 6 13 12 51137.8 3.370 266.97 0.58 18.40 10.18 823.4
1995 6 14 12 51153.7 0.449 292.33 0.58 18.39 10.99 823.0
1995 6 15 12 51167.4 13.372 233.27 0.58 18.17 9.45 774.5
1995 6 16 12 51178.6 1.384 249.52 0.58 18.84 11.06 829.3
1995 6 17 12 51187.5 1.798 237.78 0.58 20.86 10.66 820.2
1995 6 18 12 51194.0 0.691 264.44 0.58 19.44 12.29 853.8
1995 6 19 12 51198.1 2.592 258.53 0.58 18.36 10.27 835.8
1995 6 20 12 51199.9 5.050 269.33 0.58 18.26 10.01 767.4
1995 6 21 12 51199.3 0.278 253.77 0.58 20.35 11.25 816.6
1995 6 22 12 51196.4 9.916 269.52 0.58 16.65 7.44 746.5
1995 6 23 12 51191.0 0.763 242.06 0.58 20.78 12.36 830.4
1995 6 24 12 51183.3 4.605 273.01 0.58 19.32 12.27 822.3
1995 6 25 12 51173.3 4.204 218.36 0.58 17.93 9.26 791.9
1995 6 26 12 51160.8 0.485 281.65 0.58 20.75 12.34 857.0
1995 6 27 12 51146.1 0.164 260.95 0.58 16.89 8.34 756.3
1995 6 28 12 51128.9 0.012 255.05 0.58 20.56 11.91 882.8
1995 6 29 12 51109.4 7.086 265.04 0.58 23.19 14.13 877.2
1995 6 30 12 51087.6 0.643 261.00 0.58 21.05 12.20 801.3
1995 7 1 12 51063.4 4.713 240.45 0.58 21.67 12.72 876.5
1995 7 2 12 51036.9 6.785 267.04 0.58 21.23 14.51 863.7
1995 7 3 12 51008.1 5.085 244.85 0.58 21.10 12.44 904.1
1995 7 4 12 50976.9 3.970 249.33 0.58 23.02 13.35 845.9
1995 7 5 12 50943.5 8.535 258.46 0.58 18.55 10.00 773.4
1995 7 6 12 50907.8 5.204 253.65 0.58 18.55 10.68 847.1
1995 7 7 12 50869.7 1.964 243.46 0.58 21.86 14.87 889.7
1995 7 8 12 50829.4 1.034 269.97 0.58 20.83 11.84 837.4
1995 7 9 12 50786.9 2.249 219.12 0.58 20.67 12.63 824.2
1995 7 10 12 50742.1 2.616 225.79 0.58 24.02 16.36 923.3
1995 7 11 12 50695.1 4.076 229.61 0.58 22.09 14.34 882.2
1995 7 12 12 50645.8 4.638 252.51 0.58 21.22 11.86 813.4
1995 7 13 12 50594.3 1.578 247.62 0.58 20.46 13.26 904.0
1995 7 14 12 50540.7 0.030 256.30 0.58 23.77 14.84 871.4
1995 7 15 12 50484.8 8.614 242.21 0.58 21.88 14.38 876.2
1995 7 16 12 50426.8 1.418 288.20 0.58 20.47 13.62 851.4
1995 7 17 12 50366.7 5.936 231.18 0.58 23.02 14.36 873.0
1995 7 18 12 50304.5 3.671 258.54 0.58 21.37 14.18 846.9
1995 7 19 12 50240.1 4.958 247.61 0.58 20.81 12.95 871.6
1995 7 20 12 50173.7 1.627 250.09 0.58 19.58 10.82 858.1
1995 7 21 12 50105.1 5.154 254.81 0.58 23.32 13.24 886.8
1995 7 22 12 50034.6 1.567 233.38 0.58 20.03 12.26 874.3
1995 7 23 12 49962.0 2.702 253.42 0.58 22.33 13.57 883.2
1995 7 24 12 49887.4 0.487 231.77 0.58 21.71 13.36 841.2
1995 7 25 12 49810.8 1.090 253.64 0.58 21.72 13.55 835.3
1995 7 26 12 49732.3 2.339 231.69 0.58 22.95 14.72 872.1
