38.6 -91.2 basin centroid
Elevation: 200.0 m  Area: 280.0 km2

Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa)
1995 1 1 12 35377.2 1.912 121.68 0.16 -1.35 -8.48 459.8
1995 1 2 12 35407.2 2.285 114.09 0.16 -0.09 -7.68 468.1
1995 1 3 12 35439.5 1.128 94.82 0.16 1.43 -8.17 469.4
1995 1 4 12 35474.1 0.245 89.70 0.16 -1.60 -9.91 470.5
1995 1 5 12 35511.0 0.432 89.17 0.16 -5.06 -14.11 304.4
1995 1 6 12 35550.1 0.160 97.95 0.16 0.41 -7.25 444.1
1995 1 7 12 35591.5 0.410 101.03 0.16 1.09 -7.23 413.7
1995 1 8 12 35635.2 0.345 97.86 0.16 -4.30 -14.78 304.7
1995 1 9 12 35681.2 1.042 102.02 0.16 -0.58 -8.87 433.9
1995 1 10 12 35729.3 3.829 109.08 0.16 -0.15 -7.77 431.8
1995 1 11 12 35779.7 0.368 73.80 0.16 -2.34 -10.24 438.6
1995 1 12 12 35832.2 3.166 86.82 0.16 -2.44 -9.18 411.2
1995 1 13 12 35887.0 0.918 117.37 0.16 -1.45 -9.59 398.0
1995 1 14 12 35943.9 1.806 115.90 0.16 -0.69 -10.16 411.8
1995 1 15 12 36003.0 1.019 111.77 0.16 -1.96 -11.85 342.5
1995 1 16 12 36064.1 0.523 122.11 0.16 -1.03 -9.53 413.0
1995 1 17 12 36127.5 0.179 96.91 0.16 -1.51 -9.99 396.6
1995 1 18 12 36192.9 3.964 96.52 0.16 -1.18 -9.64 436.0
1995 1 19 12 36260.3 0.825 98.83 0.16 -1.91 -9.67 370.5
1995 1 20 12 36329.9 2.027 101.08 0.16 -1.13 -8.70 421.1
1995 1 21 12 36401.5 1.899 121.29 0.16 -2.00 -9.74 416.0
1995 1 22 12 36475.1 2.298 123.97 0.16 -0.02 -7.70 445.1
1995 1 23 12 36550.6 1.297 121.19 0.16 0.50 -7.51 439.0
1995 1 24 12 36628.2 3.107 111.75 0.16 -2.45 -11.17 348.7
1995 1 25 12 36707.7 3.205 114.65 0.16 1.47 -8.46 394.7
1995 1 26 12 36789.1 2.073 100.01 0.16 -0.50 -7.79 437.8
1995 1 27 12 36872.4 0.183 108.30 0.16 0.01 -8.01 407.7
1995 1 28 12 36957.6 4.383 92.98 0.16 -0.54 -10.21 436.5
1995 1 29 12 37044.7 2.053 137.53 0.16 0.61 -6.50 495.2
1995 1 30 12 37133.6 2.159 111.64 0.16 -0.93 -10.42 406.8
1995 1 31 12 37224.2 0.435 122.42 0.16 -1.83 -11.02 412.5
1995 2 1 12 37316.7 1.403 138.96 0.16 0.94 -8.00 430.9
1995 2 2 12 37410.8 1.340 144.14 0.16 0.56 -8.39 391.5
1995 2 3 12 37506.7 8.248 122.91 0.16 -1.64 -10.60 375.8
1995 2 4 12 37604.3 1.312 128.93 0.16 -1.60 -10.07 379.1
1995 2 5 12 37703.6 0.070 101.76 0.16 -0.27 -8.70 428.4
1995 2 6 12 37804.5 0.634 125.82 0.16 1.24 -6.77 427.7
1995 2 7 12 37906.9 2.615 159.24 0.16 2.94 -5.15 481.0
1995 2 8 12 38011.0 1.167 116.89 0.16 -0.60 -8.12 460.0
1995 2 9 12 38116.5 5.028 147.01 0.16 -1.32 -9.62 388.4
1995 2 10 12 38223.6 2.973 131.05 0.16 0.05 -9.03 375.8
1995 2 11 12 38332.2 0.269 135.15 0.16 0.56 -8.18 431.3
1995 2 12 12 38442.2 2.074 159.02 0.16 -0.37 -8.37 452.1
1995 2 13 12 38553.6 2.614 99.01 0.16 0.99 -7.30 489.7
1995 2 14 12 38666.4 1.375 145.32 0.16 2.95 -5.00 484.0
1995 2 15 12 38780.5 0.436 144.32 0.16 -2.20 -10.65 384.8
1995 2 16 12 38896.0 0.282 138.36 0.16 1.61 -7.06 474.4
1995 2 17 12 39012.7 3.127 137.24 0.16 0.20 -8.40 460.8
1995 2 18 12 39130.6 2.599 140.31 0.16 -1.24 -10.72 395.5
1995 2 19 12 39249.8 1.589 172.50 0.16 -1.29 -10.96 318.6
1995 2 20 12 39370.1 2.002 121.97 0.16 0.76 -7.40 404.8
1995 2 21 12 39491.6 2.167 137.89 0.16 0.08 -7.97 454.8
1995 2 22 12 39614.2 2.097 162.89 0.16 2.00 -7.06 475.3
1995 2 23 12 39737.8 1.189 146.44 0.16 4.10 -3.60 529.1
1995 2 24 12 39862.5 2.113 164.43 0.16 2.05 -6.19 490.2
1995 2 25 12 39988.1 4.941 157.94 0.16 3.91 -4.30 481.5
1995 2 26 12 40114.7 1.070 124.79 0.16 0.25 -9.10 459.6
1995 2 27 12 40242.2 0.114 162.82 0.16 0.19 -9.70 345.7
1995 2 28 12 40370.6 8.624 155.83 0.16 0.89 -5.89 502.7
1995 3 1 12 40499.8 1.121 160.98 0.16 2.02 -5.76 484.9
1995 3 2 12 40629.8 1.833 147.25 0.16 0.28 -8.86 418.7
1995 3 3 12 40760.6 1.914 151.88 0.16 2.57 -6.77 459.4
1995 3 4 12 40892.1 0.407 154.15 0.16 2.26 -6.63 477.9
1995 3 5 12 41024.3 3.930 152.15 0.16 1.67 -5.82 486.6
1995 3 6 12 41157.2 1.029 161.31 0.16 2.82 -4.89 527.6
1995 3 7 12 41290.6 6.886 172.39 0.16 2.81 -6.29 455.4
1995 3 8 12 41424.6 4.460 155.24 0.16 4.04 -4.35 526.5
1995 3 9 12 41559.2 0.234 165.54 0.16 -0.86 -8.95 428.6
1995 3 10 12 41694.2 2.357 173.91 0.16 0.89 -7.37 407.2
1995 3 11 12 41829.7 1.237 165.20 0.16 4.51 -3.65 504.6
1995 3 12 12 41965.5 0.629 172.12 0.16 3.49 -5.50 519.0
1995 3 13 12 42101.8 2.418 169.08 0.16 3.59 -5.36 511.5
1995 3 14 12 42238.3 0.500 158.12 0.16 3.60 -5.45 456.9
1995 3 15 12 42375.2 8.442 169.34 0.16 3.21 -6.42 470.9
1995 3 16 12 42512.3 0.415 173.56 0.16 1.22 -7.20 431.6
1995 3 17 12 42649.6 7.441 137.26 0.16 3.82 -4.71 528.8
1995 3 18 12 42787.0 1.675 143.67 0.16 4.67 -3.79 544.4
1995 3 19 12 42924.6 0.097 169.62 0.16 3.86 -3.87 467.4
1995 3 20 12 43062.3 1.338 160.18 0.16 4.57 -3.15 545.4
1995 3 21 12 43200.0 5.275 169.10 0.16 3.92 -4.84 492.6
1995 3 22 12 43337.7 0.401 162.09 0.16 8.42 -0.84 583.4
1995 3 23 12 43475.4 2.225 185.86 0.16 5.08 -3.28 569.1
1995 3 24 12 43613.0 2.852 203.15 0.16 4.87 -3.56 534.1
1995 3 25 12 43750.4 2.928 204.05 0.16 5.37 -2.82 524.0
